input|target
Tom didn't want to be part of it.|Tom non voleva esserne parte.
He adapted himself to his new life.|Lui si è adattato alla sua nuova vita.
Will you show me your photo album?|Mi farete vedere il vostro album fotografico?
Tom has no desire to go to Boston.|Tom non ha alcun desiderio di andare a Boston.
I called you because I need a favor.|Vi ho chiamati perché ho bisogno di un favore.
You're acting like a complete idiot.|Si sta comportando come un completo idiota.
Tom doesn't like coffee with sugar.|A Tom non piace il caffè con lo zucchero.
We're waiting for you to help us.|Stiamo aspettando che ci aiuti.
It could just be your imagination.|Potrebbe essere solo la tua immaginazione.
That's a steal at twice the price.|Quello è un furto al doppio del prezzo.
The only person studying was Tom.|L'unica persona che stava studiando era Tom.
What time do you usually go to bed?|A che ora andate a letto di solito?
I bought it at a department store.|L'ho comprato a un grande magazzino.
Tell Tom you're too tired to help.|Dica a Tom che è troppo stanca per aiutare.
Tom didn't go, and neither did Mary.|Tom non andò, e neppure Mary.
Do you think Tom went to Australia?|Voi pensate che Tom sia andato in Australia?
Tom hasn't yet been potty trained.|Tom non ha ancora appreso l'uso del vasino.
Have you ever scolded your daughter?|Lei ha mai rimproverato sua figlia?
I've already told this to the cops.|Ho già detto questo ai poliziotti.
Tom's family is very traditional.|La famiglia di Tom è molto tradizionale.
I greatly appreciate your kindness.|Apprezzo profondamente la tua gentilezza.
He has a great talent as a painter.|Lui ha un grande talento come pittore.
Are you telling me you're not busy?|Mi state dicendo che non siete impegnate?
Tom hid the book behind his back.|Tom si nascose il libro dietro la schiena.
When did you graduate from Harvard?|Quando ti sei laureata ad Harvard?
Tom is close to thirty, isn't he?|Tom è vicino ai trent'anni, vero?
Tom is way more handsome than John.|Tom è molto più bello di John.
Tom didn't expect that to happen.|Tom non si aspettava che succedesse.
I didn't drink coffee this morning.|Non ho bevuto caffè questa mattina.
I'll stay here till you get back.|Io resterò qui finché non ritornate.
I don't have anything to say to Tom.|Io non ho niente da dire a Tom.
Have you been busy since yesterday?|Siete occupate da ieri?
I'm calling from Tom's cell phone.|Sto chiamando dal cellulare di Tom.
All the girls in my class are kind.|Tutte le ragazze della mia classe sono gentili.
In any case, I'll call you tomorrow.|In ogni caso, la chiamerò domani.
Education helps to mold character.|L'istruzione aiuta a modellare il carattere.
His son had been killed in a duel.|Suo figlio è stato ucciso in un duello.
Do you know the boy in the picture?|Conoscete il ragazzo nella foto?
Tom finished working and went home.|Tom finì di lavorare e andò a casa.
The town is packed with tourists.|La città è colma di turisti.
Tom took the stairs two at a time.|Tom fece le scale a due a due.
Could you turn on the light, please?|Potresti accendere la luce, per favore?
Have you finished reading the novel?|Ha finito di leggere il romanzo?
We chose a hotel near the subway.|Scegliemmo un albergo vicino alla metropolitana.
Why haven't you been here lately?|Perché non sei stato qua ultimamente?
The chimney is belching black smoke.|Il camino sta eruttando del fumo nero.
Are you comfortable with that, Tom?|Sei a tuo agio con quello, Tom?
That's a horse of a different color.|Quello è un cavallo di un altro colore.
You're more popular than you think.|Tu sei più popolare di quanto pensi.
Tom told us everything about you.|Tom ci disse tutto su di lei.
Tom isn't old enough to buy beer.|Tom non è abbastanza grande per comprare della birra.
The message was from Tom, not Mary.|Il messaggio era di Tom, non di Mary.
My aunt inherited the huge estate.|Mia zia ereditò l'immensa proprietà.
Our baseball team is very strong.|La nostra squadra di baseball è molto forte.
I'm the one who stole the painting.|Sono quello che ha rubato il quadro.
They are disappointed in their son.|Sono delusi da loro figlio.
What's your favorite ZZ Top song?|Qual è la vostra canzone preferita degli ZZ Top?
Tom knows how much Mary loves him.|Tom sa quanto lo ami Mary.
I shouldn't have drunk so much wine.|Non avrei dovuto bere così tanto vino.
The buses left one after another.|Gli autobus se ne sono andati uno dopo l'altro.
She advised him not to eat too much.|Gli consigliò di non mangiare troppo.
The wall is partly covered with ivy.|La parete è parzialmente ricoperta di edera.
What are you giving Tom in return?|Cosa darete in cambio a Tom?
Wear sunscreen and bring sunglasses.|Si metta della protezione solare e porti gli occhiali da sole.
You have to use the money wisely.|Devi usare i soldi con saggezza.
That's what I wanted to talk about.|È ciò di cui volevo parlare.
What language is spoken in Egypt?|Quale lingua si parla in Egitto?
I'm pretty sure Tom is a teacher.|Sono piuttosto sicuro che Tom sia un insegnante.
Tom and Mary are no longer together.|Tom e Mary non sono più assieme.
I got acquainted with him in France.|L'ho conosciuto in Francia.
My father died before I was born.|Mio padre morì prima che io nascessi.
I'm sure Tom won't be embarrassed.|Sono sicuro che Tom non sarà imbarazzato.
Mt. Fuji isn't visible from here.|Il Monte Fuji non è visibile da qua.
I'll call back in twenty minutes.|Io richiamerò tra venti minuti.
I was chained to the desk all day.|Sono rimasto bloccato alla scrivania per tutto il giorno.
Tom earns thirty dollars an hour.|Tom guadagna trenta dollari l'ora.
Tom doubts whether Mary is honest.|Tom dubita che Mary sia onesta.
His condition got worse every day.|Le sue condizioni peggiorarono ogni giorno.
It has been raining since Sunday.|È da domenica che piove.
It's probably just a coincidence.|Probabilmente è solo una coincidenza.
I wonder when the Civil War started.|Mi chiedo quando sia cominciata la guerra civile americana.
Do you think Tom is still curious?|Pensate che Tom sia ancora curioso?
That's what the government wants.|È quello che vuole il governo.
You've drunk three cups of coffee.|Lei ha bevuto tre tazze di caffè.
Tom isn't stupid. He's just lazy.|Tom non è stupido. È solo pigro.
Tom didn't know that Mary was sad.|Tom non sapeva che Mary fosse triste.
Tom doesn't want to fight with Mary.|Tom non vuole bisticciare con Mary.
Tom started to practice every day.|Tom ha iniziato a fare pratica ogni giorno.
I bought a smartphone for my wife.|Comprai uno smartphone a mia moglie.
The weather is a shade better today.|Il tempo è un tantino migliore oggi.
I'm interested in studying French.|Sono interessato a studiare francese.
Would you like to eat some pudding?|Vorresti mangiare un po' di pudding?
She's asking how that's possible.|Lei sta chiedendo come sia possibile.
You have to trust your instincts.|Ti devi fidare dei tuoi istinti.
Can you tell the Jackson twins apart?|Tu riesci a distinguere i gemelli Jackson?
Didn't you know I was from Boston?|Non sapevi che ero di Boston?
They forced him to sign the letter.|Lo hanno forzato a firmare la lettera.
Have you been able to contact Tom?|È stata in grado di contattare Tom?
If you don't want it, don't eat it.|Se non lo vuole, non lo mangi.
You can understand French, right?|Voi riuscite a capire il francese, giusto?
I was pretty hungry when I got home.|Ero abbastanza affamata quando arrivai a casa.
Are there two windows in your room?|Ci sono due finestre nella vostra camera?
Tom doesn't want to speak to you.|Tom non vuole parlare con voi.
You're supposed to be practicing.|Dovete fare pratica.
This conversation never happened.|Questa conversazione non è mai avvenuta.
I want to go home as much as you do.|Io voglio andare a casa tanto quanto te.
Tom seems to be busy all the time.|Tom sembra essere sempre occupato.
My father usually comes home at six.|Di solito mio padre torna a casa alle sei.
I'd never done that until yesterday.|Io non lo avrei mai fatto fino a ieri.
Thanks for sharing your thoughts.|Grazie per aver condiviso le vostre idee.
Tom is difficult to reach, isn't he?|Tom è difficile da raggiungere, vero?
An apple a day keeps the doctor away.|Una mela al giorno toglie il medico di torno.
I thought Tom and Mary were married.|Io pensavo che Tom e Mary fossero sposati.
You can call me anytime you want.|Puoi chiamarmi ogni volta che vuoi.
Tom is only pretending to be sick.|Tom sta solamente fingendo di essere malato.
We live in a very complicated world.|Viviamo in un mondo molto complicato.
Could you bring us the bill, please?|Può portarci il conto, per favore?
I'm thinking of opening up a store.|Sto pensando di aprire un negozio.
I'll explain it in detail next week.|Lo spiegherò in dettaglio la settimana prossima.
I'll be in the bar drinking beer.|Sarò al bar a bere birra.
Could you at least give me a hint?|Potresti almeno darmi un indizio?
You'll never be able to forget me.|Non sarà mai in grado di dimenticarmi.
Tom has found out Mary can't read.|Tom ha scoperto che Mary non riesce a leggere.
I know you have an essay to write.|So che hai un tema da scrivere.
Are you coming at six or at seven?|Venite alle sei o alle sette?
He wasn't able to attend the party.|Non fu in grado di partecipare alla festa.
You should try to be more like Tom.|Dovrebbe provare ad essere di più come Tom.
Tom had only three dollars with him.|Tom aveva soltanto tre dollari con sé.
Are you telling me Tom doesn't know?|Mi sta dicendo che Tom non lo sa?
You're three years younger than me.|Lei ha tre anni in meno di me.
How about something cold to drink?|Che ne dici di qualcosa di freddo da bere?
I'm dying to know what you think.|Io sto morendo dalla voglia di sapere cosa ne pensi.
Tom handed Mary the remote control.|Tom ha passato a Mary il telecomando.
The teacher accused Tom of cheating.|L'insegnante ha accusato Tom di avere imbrogliato.
You don't have to worry about me.|Non dovete preoccuparvi per me.
I have a question I need to ask you.|Ho una domanda da porti.
Can you tell me why Tom isn't here?|Mi può dire perché Tom non è qui?
Why don't we talk in your office?|Perché non parliamo nel tuo ufficio?
Tom teaches me French twice a week.|Tom mi insegna il francese due volte la settimana.
Could you please sign the register?|Potrebbe firmare il registro, per piacere?
She took down a book from the shelf.|Prese un libro dallo scaffale.
She advised him to become a teacher.|Lei gli ha consigliato di diventare un insegnante.
Some people will believe anything.|Alcune persone crederanno a qualunque cosa.
Tom seems to be waiting for someone.|Sembra che Tom stia aspettando qualcuno.
Tom gave me a book for Christmas.|Tom mi diede un libro per Natale.
I thought Tom would make breakfast.|Pensavo che Tom avrebbe preparato la colazione.
Tom didn't order anything to eat.|Tom non ordinò nulla da mangiare.
Tom is going to fix those things.|Tom riparerà quelle cose.
Why did you invite Tom to the party?|Perché ha invitato Tom alla festa?
I won't make the same mistake again.|Non rifarò lo stesso errore.
You need to change your lifestyle.|Dovete cambiare il vostro stile di vita.
Tom blew his nose in a handkerchief.|Tom si soffiò il naso con un fazzoletto.
Everybody knows that you're lying.|Lo sanno tutti che sta mentendo.
You were having fun, weren't you?|Tu ti stavi divertendo, vero?
Were you tired yesterday afternoon?|Era stanco ieri pomeriggio?
What does Tom do in his free time?|Che cosa fa Tom nel suo tempo libero?
Tom knows he has to speak French.|Tom sa che deve parlare in francese.
Why weren't you here this afternoon?|Perché non eri qui questo pomeriggio?
You're not welcome in this house.|Non sei la benvenuta in questa casa.
You're both from Boston, aren't you?|Voi siete entrambi di Boston, vero?
Please speak a little more slowly.|Per piacere, parlate un po' più lentamente.
